Description,Price/Unit,Unit,Price/Measure,Measure
"Sainsbury's Chocolate Bombe with Rich Chocolate Sauce Centre, Taste the Difference 227g",2.50,unit,1.10,100g
McVitie's Jaffa Cakes Festive Orange Yule Logs x5,1.00,unit,20p,ea
"Sainsbury's 18 Month Matured Christmas Pudding, Taste the Difference 800g",9.00,unit,1.13,100g
"Sainsbury's 18 Month Matured Christmas Pudding, Taste the Difference 400g",7.00,unit,1.75,100g
Paxo Gluten Free White Breadcrumbs 150g,2.30,unit,1.53,100g
"Sainsbury's Butterscotch Bombe, Taste the Difference 227g",2.50,unit,1.10,100g
New York Bakery Co. Four Cheese Deli Bagels x4,1.20,unit,1.20,ea
Sainsbury's Genoa Cake 800g,6.00,unit,75p,100g
Warburtons Half White Flour and Half Wholemeal Flour Rolls x6,1.20,unit,20p,ea
Warburtons Gluten Free Multiseed Boule with Sourdough 400g,3.50,unit,88p,100g
Warburtons Sliced Wholemeal Rolls x6,1.10,unit,18p,ea
Sainsbury's Iced & Spiced Buns x2,1.25,unit,1.25,ea
BFree Authentic Grilled Panini Rolls x2 150g,2.30,unit,1.53,100g
Sainsbury's Free from Brown Rolls x4 280g,1.80,unit,64p,100g
