Description,Price/Unit,Unit,Price/Measure,Measure
"Sainsbury's Rustica Italian Passata, Taste the Difference 430g",1.00,unit,2.33,kg
Nescaf Gold Blend Decaff Instant Coffee 200g,5.00,unit,2.50,100g
Hellmann's Light Squeezy Mayonnaise 750ml,2.00,unit,27p,100ml
Bisto Gravy Granules 550g,3.00,unit,55p,100g
Betty Crocker Vanilla Buttercream Style Icing 400g,2.50,unit,63p,100g
Quaker Porridge To Go Golden Syrup Breakfast Bars 2x55g,1.40,unit,1.27,100g
Cadbury Crunchie Chocolate Bars 10x26g,2.50,unit,96p,100g
McVitie's Digestives Milk Chocolate Biscuits 433g,2.20,unit,51p,100g
McDougalls Premium Supreme Sponge Self Raising Flour 1kg,1.85,unit,1.85,kg
PG tips Decaffeinated Biodegradable Black Tea Bags x70,2.50,unit,1.23,100g
Walkers Poppables BBQ Rib Snacks 110g,1.00,unit,91p,100g
Kellogg's Corn Flakes 1kg,3.00,unit,30p,100g
Carrs Breadmaker Strong White Flour 1.5kg,1.50,unit,1.00,kg
"KP Roasted Peanuts, Unsalted 250g",2.50,unit,1.00,100g
Graze Snack Box Cocoa & Vanilla Protein Flapjack 54g,1.20,unit,2.26,100g
Hellmann's Real Squeezy Mayonnaise 250ml,1.50,unit,64p,100g
Sainsbury's Mini Assorted Chocolate Bars x25 421g,2.50,unit,59p,100g
Baking Buddy Pumpkin 425g,1.60,unit,3.76,kg
Walkers Max Strong Hot Chicken Wings Crisps 150g,1.00,unit,67p,100g
McDougall's Plain Flour 500g,90p,unit,1.80,kg
Napolina Light in Colour Olive Oil 500ml,4.15,unit,83p,100ml
Walkers Max Strong Jalapeno & Cheese Crisps 150g,1.00,unit,67p,100g
Monster Energy Ultra 4x500ml,4.00,unit,20p,100ml
Red Bull Energy Drink 12x250ml (Sugar levy applied),13.00,unit,43p,100ml
Sensations Thai Sweet Chilli Crisps 40g,90p,unit,2.25,100g
Napolina Tomato Passata 4x390g,3.00,unit,1.92,kg
Walkers Poppables Cheddar Cheese Snacks 110g,1.00,unit,91p,100g
Snack a Jacks Rice and Corn Cakes Salt & Vinegar 23g,75p,unit,3.26,100g
Monster Energy 4x500ml,4.60,unit,23p,100ml
McCoy's Flame Grilled Steak Crisps 47.5g,90p,unit,1.91,100g
McDougall's Self-raising Flour 1.1kg,1.55,unit,1.41,kg
Napolina Extra Virgin Olive Oil 750ml,5.60,unit,75p,100ml
Kellogg's Fruit n Fibre Cereal 375g,2.20,unit,59p,100g
Hula Hoops Big Hoops Original Potato Rings Crisps 50g,90p,unit,1.80,100g
Hula Hoops Big Hoops BBQ Potato Rings Crisps 50g,90p,unit,1.80,100g
Walkers Max Crisps Paprika 50g,90p,unit,1.80,100g
Cadbury Dairy Milk Chocolate Bar 360g,4.00,unit,1.11,100g
Doritos Cool Original Tortilla Chip Crisps 55g,90p,unit,1.64,100g
Kettle Chips Sea Salt & Balsamic Vinegar Crisps 40g,90p,unit,2.25,100g
Mega Monster Munch Pickled Onion Snacks 40g,90p,unit,2.25,100g
Napolina Olive Oil 750ml,5.60,unit,75p,100ml
Jacob's Mini Cheddars Original Crisps 50g,90p,unit,1.80,100g
Popchips Barbeque Potato Chip Crisps 23g,75p,unit,3.26,100g
Walkers Wotsits Really Cheesy Crisp Snacks 36g,90p,unit,2.50,100g
Walkers Quavers Cheese Crisp Snacks 34g,90p,unit,2.65,100g
Walkers Max Cheese & Onion Crisps 50g,90p,unit,1.80,100g
Princes Pineapple Slices in Juice 432g,90p,unit,21p,100g
Princes Pineapple Chunks in Juice 432g,90p,unit,21p,100g
Walkers Max Flame Grilled Steak Crisps 50g,90p,unit,1.80,100g
Walkers Baked Cheese & Onion Crisps 37.5g,75p,unit,2.00,100g
Skips Prawn Cocktail 40g,90p,unit,2.25,100g
Napolina Light in Colour Olive Oil 750ml,5.60,unit,75p,100ml
Sunbites Sweet Chilli Multigrain Snacks 28g,75p,unit,2.68,100g
Sainsbury's Snowballs & Stars Cereal 375g,1.50,unit,40p,100g
Doritos Tangy Cheese Tortilla Chip Crisps 55g,90p,unit,1.64,100g
Nairn's Coconut & Chia Oat Biscuits 200g,1.40,unit,70p,100g
Sainsbury's Pigs in Blankets Flavour Mayo 280ml,50p,unit,18p,100g
Cheetos Puffs Cheese Snacks 8x13g,1.00,unit,96p,100g
Doritos Cool Original Tortilla Chips 230g,2.50,unit,1.09,100g
Lucky Charms Cup Frosted Toasted Oat Cereal with Marshmallows 48g,1.50,unit,3.13,100g
Cruga Biltong Original Marinated Beef 70g,1.25,unit,1.79,100g
Libby's Apricot Halves In Juice 420g,80p,unit,33p,100g
Del Monte Apricots In Light Syrup 420,1.00,unit,42p,100g
Sainsbury's Italian Passata with Garlic 500g,75p,unit,15p,100g
Del Monte Fruit Cocktail In Light Syrup 420g,1.00,unit,42p,100g
Sainsbury's Italian Passata with Basil 500g,75p,unit,15p,100g
Sainsbury's Gingerbread Flavour Porridge 57g,60p,unit,1.06,100g
Sainsbury's Gingerbread Flavour Porridge 8x36g,1.00,unit,34p,100g
"Sainsbury's Ginger Shortbread Finger Biscuits, Taste the Difference 200g",2.00,unit,1.00,100g
Quaker Oat So Simple Velvety Chocolate Porridge Sachets 10x36.5g,1.37,unit,37p,100g
Doritos Guacamole Tortilla Chips 230g,2.50,unit,1.09,100g
"Sainsbury's White Chocolate & Lemon Shortbread Squares, Taste the Difference 155g",2.00,unit,1.29,100g
"Sainsbury's Italian Datterini Cherry Tomato Pure, Taste the Difference 150g",90p,unit,60p,100g
"Sainsbury's Lighter Than Light Mayonnaise Squeezy, Taste the Difference 250ml",1.50,unit,60p,100ml
Quaker Oat So Simple Classic Banana Porridge x10 34.8g,2.75,unit,79p,100g
Branston Baked Beans with Sausages 405g,1.10,unit,27p,100g
Quaker Oat So Simple Velvety Chocolate Porridge Pot 59g,50p,unit,85p,100g
Cadbury Darkmilk Chocolate Bar x4 112g,1.50,unit,1.34,100g
Branston Baked Beans with Sausages 220g,80p,unit,36p,100g
Libby's Pineapple Slices in Juice 432g,1.20,unit,31p,100g
