Description,Price/Unit,Unit,Price/Measure,Measure
Ecover Fabric Softener Gardenia & Vanilla 25 Washes 750ml (25 washes),1.50,unit,2.00,ltr
"Glade Gel, Relaxing Zen 160g",1.00,unit,1.00,ea
Dettol Antibacterial Disinfectant Mould & Mildew Remover Spray 750ml,4.00,unit,5.33,ltr
"Bloo Rim Block, Aqua",1.00,unit,1.00,ea
"Comfort Fabric Conditioner, Lavender Bloom 1.26L (36 Washes)",2.00,unit,1.59,ltr
"Pledge Duster Refills, Fragrance Free x5",2.00,unit,40p,ea
Sainsbury's All in One Ultimate Dishwasher Tablets x50,6.00,unit,12p,ea
"Sainsbury's Extra-Wear Household Cleaning Gloves, Large",1.80,unit,1.80,ea
Golden Virginia Tobacco 50g.,25.85,unit,51.70,100g
Sainsbury's Waste Basket Bags x40,1.80,unit,5p,ea
Calgon Water Softener Tablets x45,10.00,unit,22p,ea
Harpic PowerPlus Toilet Cleaner Tablets x8,2.50,unit,31p,ea
Swan Slimline Filter Tips x165,1.20,unit,1.20,ea
Tiger Tim Firelog,2.20,unit,2.20,ea
Wet Ones Be Zingy Antibacterial Hand Wipes x12 Wipes,1.00,unit,8.33,100sht
Sainsbury's Ultra Absorbent Kitchen Towel 3 Rolls,3.50,unit,1.17,100sht
Fairy Fabric Conditioner for Sensitive Skin 1.19L (34 Washes),2.00,unit,1.68,ltr
Rizla Blue x50,30p,unit,1p,ea
Windolene Glass & Shiny Surface Wipes x30,2.20,unit,7p,wipe
Sainsbury's Foil Containers & Lids x10,2.00,unit,20p,ea
Amber Leaf Tobacco 50g,25.85,unit,51.70,100g
Sainsbury's Rinse Aid Original 400ml,1.75,unit,4.38,ltr
Dylon Colour Catcher Sheets x40,3.50,unit,9p,ea
Spontex All Purpose Cloth Roll x40,3.00,unit,8p,sht
"Method Multi-Surface Cleaner, French Lavender, 828ml",3.00,unit,3.62,ltr
Viakal Ultra Limescale Remover Spray 500ml,2.00,unit,4.00,ltr
Sainsbury's Super Soft Tissues 1x90 Sheets,1.10,unit,1.22,100sht
Surcare Sensitive Washing Up Liquid 450ml,1.25,unit,2.78,ltr
