Description,Price/Unit,Unit,Price/Measure,Measure
Ella's Kitchen Organic Pork Roast Dinner Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Cow & Gate 4 Growing Up Milk Powder 2+ Years 800g,7.50,unit,94p,100g
SMA PRO Follow-on Milk 6 Month+ 800g,10.75,unit,1.34,100g
Vaseline Original Petroleum Jelly 250ml,3.00,unit,1.20,100ml
HiPP 3 Growing Up Milk Powder 600g,7.25,unit,1.21,100g
"Sainsbury's Little Ones Organic Pear, Prune & Banana Smooth Puree 4+ Months 70g",60p,unit,86p,100g
HiPP Paella With Mixed Vegetables & Chicken Tray Meal 230g 12 Month+,2.00,unit,87p,100g
The Collective Kids Raspberry Suckies Yoghurt 100g,75p,unit,75p,100g
Kiddyum Kids' Ready Meal Cottage Pie 200g,1.75,unit,8.75,kg
Organix Strawberry Baby Biscuits 54g,1.60,unit,30p,10g
SMA PRO Growing Up Milk 1-3 Years 800g,10.20,unit,1.28,100g
Vaseline Original Petroleum Jelly 50ml,1.50,unit,3.00,100ml
Aptamil ProFutura 2 Follow On Baby Milk Formula 200ml,1.10,unit,55p,100ml
Organix Melty Cheese Stars 20g,50p,unit,25p,10g
Sainsbury's Little Ones Dry Fit Size 5+ Jumbo 66 Nappies,4.75,unit,7p,ea
HiPP Organic Vegetable Lasagne Jar 190g 7 Month+,70p,unit,37p,100g
HiPP Organic Cheesy Spinach & Potato Bake 6+ Months 125g,60p,unit,48p,100g
Kiddyum Kids' Ready Meal Chicken Curry 200g,1.75,unit,8.75,kg
Cow & Gate Rice Pudding Jar 200g 7 Month+,70p,unit,35p,100g
Kiddylicious Blueberry Wafers Snack 20g 6 Month+,1.30,unit,6.50,100g
DryNites Girls Pyjama Pants Age 3-5 Years 10 Pants,5.50,unit,55p,napy
HiPP Organic Creamed Porridge Breakfast Jar 125g 6 Month+,60p,unit,48p,100g
Ella's Kitchen Organic The White One Multipack Pouch 6+ Months 4 x 90g,3.50,unit,97p,100g
Aptamil Follow On Milk 6-12 Months 800g,11.50,unit,1.44,100g
Sainsbury's Little Ones Sensitive Baby Bath 300ml,1.00,unit,33p,100ml
Ella's Kitchen Organic Chicken and Noodles Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Kiddylicious Strawberry Fruity Bakes 6 x 22g (132g),2.20,unit,1.67,100g
"Sainsbury's Little Ones Organic Apple, Banana & Blueberry Puree Smooth Puree 4+ Months 4 x 100g (400g)",1.25,unit,31p,100g
HiPP Organic Spaghetti Bolognese & Mozzarella Jar 190G 7 Month+,70p,unit,37p,100g
"Pampers Baby-Dry Nappy Pants, Size 4, 9-15kg x38",8.00,unit,21p,napy
Pampers Baby Dry Size 5+ Jumbo 68 Nappies,9.75,unit,14p,ea
Sainsbury's Little Ones Sterilising Liquid 500ml,1.00,unit,20p,100ml
"Sainsbury's Little Ones Organic Pear, Apple & Strawberry Puree 4+ Months 4 x 100g (400g)",1.25,unit,31p,100g
Aptamil ProFutura 1 First Baby Milk Formula From Birth 800g,15.00,unit,1.88,100g
Sainsbury's Little Ones Dry Fit Size 4 Jumbo 84 Nappies,4.75,unit,6p,ea
Sainsbury's Kids Cherry 2 In 1 Shampoo 250ml,1.00,unit,40p,100ml
Cow & Gate Cauliflower Cheese Jar 200g 7 Month+,70p,unit,35p,100g
Cow & Gate Scrummy Spaghetti Bolognese Jar 200g,70p,unit,35p,100g
Johnson's Baby Oil 300ml,1.50,unit,50p,100ml
Heinz Apple Juice Drink 500ml 6 Month+,1.50,unit,30p,100ml
"Eco by Naty Nappies Size 4, 44 Nappies",9.50,unit,22p,napy
Milton Antibacterial Hand Gel 100ml,1.30,unit,1.30,ea
Cow & Gate Banana Crumble Jar 200g 7 Month+,70p,unit,35p,100g
"Sainsbury's Little Ones Organic Pork Dinner with Parsnip, Leek & Apple Sauce 7+ Months 130g",1.00,unit,77p,100g
Ella's Kitchen Organic Chicken Paella Toddler Tray Meal 12+ Months 200g,2.20,unit,1.10,100g
Ella's Kitchen Organic Beef Stew and Root Veg Toddler Tray Meal 12+ Months 200g,2.20,unit,1.10,100g
Ella's Kitchen Organic Vanilla and Banana Melty Hoops Baby Snack 10+ Months 20g,50p,unit,2.50,100g
Cow & Gate Multigrain Banana Porridge Baby Cereal 200g,2.00,unit,1.00,100g
Sainsbury's Little Ones Organic Apple Rice Cakes 12+ Months 40g,80p,unit,2.00,100g
Cow & Gate Carrot Chicken Risotto Jar 125g 4 Month+,60p,unit,48p,100g
Organix Banana Puffcorn 4x10g,1.75,unit,4.38,100g
Ella's Kitchen Organic Peaches First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
