Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Little Ones Hand & Face Single Pack 15 Wipes,95p,unit,6p,wipe
Panadol Extra Soluble paracetamol caffeine pain relief tablets x24,4.00,unit,17p,tblt
"Dove Anti-Perspirant Aerosol Deodorant, Invisible 250ml",2.75,unit,1.10,100ml
L'Oreal Elvive Colour Protect Coloured Hair Shampoo 250ml,2.00,unit,80p,100ml
Panadol Extra Advance paracetamol caffeine pain relief tablets x14,2.70,unit,19p,ea
Jakemans Honey & Lemon x100g,65p,unit,65p,100g
L'Oreal Paris Kids 2-in-1 Tropical Mango Shampoo 250ml,2.40,unit,96p,100ml
Sainsbury's Hayfever & Allergy Relief x30,2.95,unit,10p,ea
Tena Lady Extra Pads x10,2.00,unit,20p,ea
Tampax Pearl Regular Tampons Applicator x18,2.85,unit,16p,ea
Rennie Peppermint Heartburn & Indigestion Relief Tablets x72,4.85,unit,7p,tblt
Sainsbury's Fairtrade Cottonwool Pads x100,1.85,unit,2p,ea
Johnson's Baby Top To Toe Baby Bath 500ml,2.25,unit,45p,100ml
L'Oreal Paris Age Perfect Cleansing Wipes x25,4.75,unit,19p,wipe
Corsodyl Daily Cool Mint Alcohol Free Mouthwash 500ml,4.75,unit,95p,100ml
Sainsbury's Pantyliners Large x28,95p,unit,3p,ea
Imodium Original Anti-Diarrhoeal Capsules x6,3.00,unit,50p,tblt
"Nurofen For Children, Strawberry 100ml",3.00,unit,3.00,100ml
Nivea Anti-Perspirant Deodorant Roll-On Pearl & Beauty 48 Hours Deo 50ml,1.50,unit,3.00,100ml
Rennie Peppermint Heartburn & Indigestion Relief Tablets x24,2.00,unit,8p,tblt
Silvikrin Classic Hairspray Firm Hold 400ml,3.00,unit,75p,100ml
Sainsbury's Classic Clean Anti-Dandruff 2 in 1 Shampoo 300ml,1.00,unit,33p,100ml
Dove Men Clean Comfort Anti-Perspirant Deodorant Aerosol 250ml,2.75,unit,1.10,100ml
Tampax Compak Super Plus Tampons Applicator x18,2.50,unit,14p,ea
Corsodyl Mint Gum Problem Treatment Mouthwash 300ml,5.00,unit,1.67,100ml
Oral-B Pro Expert Deep Clean Mint Toothpaste 75ml,2.00,unit,2.67,100ml
Gillette Fusion Razor Blades x4,11.50,unit,2.88,bld
Herbal Essences Ignite My Colour Conditioner 400ml,2.00,unit,50p,100ml
Aussie Mega Instant Shampoo 300ml,2.65,unit,88p,100ml
"Lemsip Max Cold & Flu Remedy Sachets, Lemon x10",3.50,unit,35p,ea
Sudafed Blocked Nose Spray 15ml,4.00,unit,26.67,100ml
Sainsbury's Blue Hand Wash 500ml,50p,unit,10p,100ml
The Collection Original Handwash Refill 500ml,1.00,unit,20p,100ml
Colgate Sensitive with Sensifoam Whitening Toothpaste 75ml,2.75,unit,3.67,100ml
Aussie 3 Minute Miracle Reconstructor Conditioner 250ml,3.30,unit,1.32,100ml
"Method Handwash, Botanical Garden 354ml",2.50,unit,71p,100ml
Sainsbury's Coconut Shampoo 500ml,75p,unit,15p,100ml
Huggies Little Swimmers Size 5-6  11 Swim Nappies,5.50,unit,50p,napy
"Lynx Body Spray Deodorant, Dark Temptation 150ml",3.00,unit,2.00,100ml
Batiste Blush Floral & Flirty Dry Shampoo 200ml,2.25,unit,1.13,100ml
Haliborange Fruit Softies x30,3.50,unit,12p,ea
Sainsbury's Extra Long Liners x22,95p,unit,4p,ea
Imodium Anti-Diarrhoea Instants x6,2.80,unit,47p,tblt
L'Oreal Elvive Fibrology Fine Hair Conditioner 400ml,3.50,unit,88p,100ml
Gillette Venus Sensitive Skin Shave Gel 200ml,2.50,unit,1.25,100ml
Cuticura Original Anti Bacterial Hand Gel Crisp & Fresh 50ml,1.05,unit,2.10,100ml
Always Discreet Incontinence  Normal For Sensitive Bladder x12,2.00,unit,17p,ea
Listerine Advanced Defense Gum Mouthwash 500ml,5.50,unit,1.10,100ml
"Sure Women Anti-Perspirant Deodorant Roll On, Bright Bouquet 50ml",1.00,unit,2.00,100ml
"Sure Women Compressed Anti-Perspirant Deodorant, Cotton Dry 75ml",1.80,unit,2.40,100ml
"TRESemm Colour Revitalise Colour, Fade Protection Hair Shampoo 900ml",2.95,unit,33p,100ml
Dove Go Fresh Pomegranate Roll-On Anti-Perspirant Deodorant 50ml,1.50,unit,3.00,100ml
"Impulse Body Spray, Very Pink 75ml",1.00,unit,1.33,100ml
Nivea Anti-Perspirant Deodorant Spray Pearl & Beauty 48 Hours Deo 150ml,1.25,unit,83p,100ml
Gillette Series Sensitive Shaving Gel 200ml,1.50,unit,75p,100ml
Sainsbury's Ultra Towels x16,65p,unit,4p,ea
Carex Refreshing Wipes x15,1.00,unit,7p,wipe
"Sure Men Compressed Anti-Perspirant Deodorant, Invisible Ice 75ml",1.80,unit,2.40,100ml
Colgate Max Fresh Cooling Crystals Toothpaste 125ml,2.00,unit,1.60,100ml
Simple Kind to Skin Refreshing Shower Gel 500ml,1.50,unit,30p,100ml
Dove Original Anti-perspirant Deodorant Aerosol 250ml,2.75,unit,1.10,100ml
Alberto Balsam Coconut & Lychee Hair Shampoo 350ml,1.00,unit,29p,100ml
Simple Kind To Skin Hydrating Light Moisturiser 125ml,3.00,unit,2.40,100ml
Euthymol Toothpaste 75ml,2.50,unit,3.33,100ml
Halls Citrus Sugar Free 32g,60p,unit,1.88,100g
Vosene Kids 3 in 1 Shampoo 250ml,2.00,unit,80p,100ml
Tampax Pearl Super Tampons Applicator x18,2.85,unit,16p,ea
Sure Men Active Dry Anti-Perspirant Deodorant Aerosol 250ml,1.50,unit,60p,100ml
Method Sweet Water Gel Handwash 354ml,2.50,unit,71p,100ml
