Description,Price/Unit,Unit,Price/Measure,Measure
Happy Monkey Strawberry & Banana Kids Smoothie 4x180ml,2.10,unit,29p,100ml
Sainsbury's House Pinot Grigio 2.25L,13.00,unit,4.33,75cl
"Sainsbury's Red Grape Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
San Pellegrino Lemon Sparkling Soft Drink 6x330ml,3.00,unit,15p,100ml
Blossom Hill Red 75cl,5.00,unit,5.00,75cl
"Moo Long Life Organic Milk, Semi Skimmed 1L",1.15,unit,1.15,ltr
Fanta Orange 2L,1.75,unit,9p,100ml
"Sainsbury's Victoria Sponge Cake, Taste the Difference 345g (Serves 6)",2.75,unit,80p,100g
Sainsbury's House Sauvignon Blanc 75cl,4.50,unit,4.50,75cl
"Sainsbury's Chilean Sauvignon Blanc, Taste the Difference 75cl",6.00,unit,6.00,75cl
Shepherd Neame Spitfire Kentish Ale 500ml,1.25,unit,2.50,ltr
Coca-Cola Original Taste 1L,1.50,unit,15p,100ml
Gallo Family Vineyards White Zinfandel 75cl,5.50,unit,5.50,75cl
Carta Roja Gran Reserva 75cl,5.75,unit,5.75,75cl
Diet Coke Caffeine Free 2L,1.50,unit,7p,100ml
"Sainsbury's Cranberry & Raspberry Juice Drink, No Added Sugar 1L",85p,unit,9p,100ml
Canderel Original Sweetener Granules 75g,2.00,unit,26.67,kg
Sainsbury's Cola 2L,45p,unit,2p,100ml
Casillero Del Diablo Merlot 75cl,7.50,unit,7.50,75cl
Douwe Egberts Pure Gold Instant Coffee 190g,5.50,unit,2.89,100g
Vimto Squash No Added Sugar 1L,1.85,unit,19p,100ml
Lucozade Energy Orange x6 380ml,2.00,unit,9p,100ml
Cadbury Bournville Cocoa Powder Tin 250g,3.00,unit,1.20,100g
Cadbury Highlights Chocolate Instant 11g,30p,unit,2.73,100g
Kronenbourg 1664 Lager Beer Bottles 15 x 275ml,9.00,unit,2.18,ltr
Cafdirect Fairtrade Organic Machu Picchu Peru Ground Coffee 227g,3.00,unit,1.32,100g
Yeo Valley Organic Semi Skimmed Milk 2L,2.20,unit,1.10,ltr
Sainsbury's Caledonian Water 12x500ml,1.65,unit,3p,100ml
Bombay Sapphire Gin 1L,20.00,unit,20.00,ltr
Tropicana Orange Juice with Extra Juicy Bits 950ml,1.50,unit,16p,100ml
Sprite No Sugar 2L,1.75,unit,9p,100ml
"Tetley Everyday Tea Bags, Softpack x160",3.00,unit,60p,100g
Robinsons Apple Squash No Added Sugar 1L,1.65,unit,17p,100ml
Kenco Smooth Instant Coffee Refill 150g,3.50,unit,2.33,100g
"Sainsbury's Belgian Chocolate Fudge Cake, Taste Difference 395g (Serves 6)",2.75,unit,70p,100g
Wollemi Shiraz-Merlot 75cl,4.60,unit,4.60,75cl
I Heart Prosecco 75cl,8.50,unit,8.50,75cl
"Sainsbury's Pineapple & Grapefruit Juice Drink, Zero Added Sugar 2L",70p,unit,4p,100ml
Sainsbury's Fairly Traded Red Label x240 Tea Bags 750g,2.90,unit,39p,100g
Coffee Mate Coffee Whitener 500g,2.60,unit,52p,100g
Belvoir Elderflower Cordial 500ml,2.50,unit,50p,100ml
Baileys Original Irish Cream Liqueur 1L,15.00,unit,15.00,ltr
Actimel Yogurt Drink 0.1% Fat Original 8x100g,2.75,unit,34p,100g
Highland Spring Still Water 1.5L,65p,unit,4p,100ml
Tetley Everyday Tea Bags Decaffeinated x80 250g,2.50,unit,1.00,100g
"Sainsbury's Diet Ginger Beer, No Added Sugar 2L",70p,unit,4p,100ml
Nescaf Gold Cappuccino Instant Coffee Sachets x8,1.50,unit,1.21,100g
Pepsi Max Cherry Cans 8x330ml,3.00,unit,11p,100ml
R Whites Diet Lemonade 2L,1.00,unit,5p,100ml
Copella Apple & Elderflower Juice 1.35L,2.00,unit,15p,100ml
Copella Cloudy Apple Juice 900ml,2.00,unit,22p,100ml
Campo Viejo Rioja Reserva 75cl,8.00,unit,8.00,75cl
Sainsbury's Dry Ginger Ale 1L,60p,unit,6p,100ml
San Pellegrino Sparkling Natural Mineral Water Glass 750ml,1.25,unit,17p,100ml
Robinsons Fruit & Barley Pink Grapefruit Squash No Added Sugar 1L,1.75,unit,18p,100ml
San Miguel Especial Premium Lager Bottles 12x330ml,12.00,unit,3.03,ltr
Elegant Frog Viognier 75cl,7.00,unit,7.00,75cl
"Tetley Everyday Tea Bags, Softpack x80",2.40,unit,96p,100g
Dr Pepper 2L,1.75,unit,9p,100ml
Old Jamaica Ginger Beer 1.5L,1.00,unit,7p,100ml
Diet Pepsi Caffeine Free 2L,1.50,unit,8p,100ml
Lucozade Energy Original 1L,1.00,unit,10p,100ml
"Sainsbury's Farmhouse Cheese Scones, Taste Difference x4",1.25,unit,32p,ea
Sainsbury's Gold Roast Decaffeinated Instant Coffee Granules 200g,3.40,unit,1.70,100g
Sainsbury's Pure Tropical Juice 1L,85p,unit,9p,100ml
Pepsi 2L (Sugar levy applied),2.00,unit,10p,100ml
Arla Big Milk Drink 2L 12 Month+,1.95,unit,98p,ltr
Oxford Landing Sauvignon Blanc 75cl,6.00,unit,6.00,75cl
Actimel Yogurt Drink Blueberry 8x100g,2.75,unit,34p,100g
"Sainsbury's Freshly Squeezed Orange Juice with Bits, Taste the Difference 1.5L",3.00,unit,20p,100ml
Tassimo Costa Latte Coffee Pods x8,4.00,unit,1.67,100g
