Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Cauliflower Cheese Taste the Difference 400g (Serves 2),2.70,unit,6.75,kg
Sainsbury's Mixed Peppers SO Organic x3 (Colours may vary),2.35,unit,78p,ea
Sainsbury's Carrots 500g,35p,unit,70p,kg
Sainsbury's Ready Prepared Spring Greens 200g,1.00,unit,5.00,kg
Yeo Valley Organic Greek Style Natural Yogurt 450g,1.70,unit,38p,100g
Sainsbury's Peach Punnet (Min x4),1.00,unit,25p,ea
Sainsbury's Chargrilled Mediterranean Vegetables (Aubergine Courgette Red & Yellow Peppers) 500g,1.50,unit,3.00,kg
Sainsbury's Blueberries 500g,3.50,unit,7.00,kg
Green Giant Original Sweetcorn 198g,75p,unit,4.55,kg
Sainsbury's Mini Portabello Mushrooms 300g,1.50,unit,5.00,kg
Sainsbury's Fresh Living Basil Pot,1.25,unit,1.25,ea
Sainsbury's Italian Prosciutto Crudo Slices 70g,87p,unit,1.24,100g
Sainsbury's Chopped Spinach 1kg,1.50,unit,1.50,kg
SO Organic Medium Ripe & Ready Avocados x2,2.50,unit,1.25,ea
By Sainsburys 4 Small Ripe & Ready Avocados,2.50,unit,63p,ea
Alpro Plain Yoghurt Alternative 500g,1.75,unit,35p,100g
Sainsbury's Watermelon,2.90,unit,2.90,ea
Sainsbury's Garden Peas 1.8kg,1.75,unit,97p,kg
Sainsbury's White Grapefruit,60p,unit,60p,ea
Sainsbury's Mixed Pepper Stir Fry 300g,1.25,unit,42p,100g
Sainsbury's Bistro Salad 150g,1.25,unit,83p,100g
Aunt Bessie's Honey Glazed Parsnips 500g,1.75,unit,3.50,kg
Sainsbury's Pastrami Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's Sweet Pointed Red Peppers SO Organic x2,1.80,unit,90p,ea
Sainsbury's Fresh Packed Rosemary 20g,75p,unit,38p,10g
Sainsbury's Mushrooms Sliced 250g,1.00,unit,4.00,kg
Sainsbury's Blue Stilton Cheese 220g,1.90,unit,8.64,kg
Sainsbury's Fine Beans & Tenderstem Broccoli 200g,1.70,unit,8.50,kg
Sainsbury's Fresh Sweet Chilli Stir Fry Sauce 175ml,1.00,unit,57p,100ml
