Description,Price/Unit,Unit,Price/Measure,Measure
Dr. Beckmann Service It Deep Clean Washing Machine Cleaner 250g,3.10,unit,12.40,kg
Vanish Oxi Action Fabric Stain Remover Powder Colours & Whites 1kg,5.50,unit,5.50,kg
Ariel Washing Powder Original 3.9kg (60 Washes),10.00,unit,2.56,kg
Dr. Oetker Bicarbonate of Soda 200g,1.40,unit,7.00,kg
Method Anti-Bac Multi-Surface Cleaner Spray Wild Rhubarb 828ml,3.00,unit,3.62,ltr
Sainsbury's Sink & Plughole Unblocker 500ml,2.25,unit,4.50,ltr
Sainsbury's Disposable Vinyl Gloves x20,3.00,unit,15p,ea
Rothmans Blue Superkings x20,9.50,unit,48p,cig
Febreze Classic Fabric Refresher Spray 500ml,2.50,unit,5.00,ltr
Persil Non-Bio Laundry Tablets 1.2kg (20 Washes),5.50,unit,4.58,kg
Sainsbury's Tumble Dryer Sheets Clear Skies x40,1.80,unit,5p,ea
Scale Away Appliance Descaler 75g,1.75,unit,23.33,kg
Mr Sheen Multi-Surface Polish Original 300ml,1.50,unit,5.00,ltr
Harpic Power Plus Toilet Cleaner Tablets 8x25g,2.50,unit,31p,ea
Sainsbury's Ultra Absorbent Kitchen Towel 2 Rolls,2.50,unit,1.25,100sht
Finish Dishwasher Salt 2kg,2.25,unit,1.13,kg
Dr. Beckmann Glowhite Powder 5x40g,1.25,unit,6.25,kg
Sainsbury's All in One Ultimate Dishwasher Tablets x50,6.00,unit,12p,ea
Golden Virginia Tobacco 50g.,25.85,unit,51.70,100g
Domestos Power 5 Toilet Rim Block Ocean x1 55g,1.00,unit,1.00,ea
Neutradol Air Deodoriser Gel Superfresh,1.75,unit,1.75,ea
Sainsbury's Limescale Remover Liquid 750ml,85p,unit,1.13,ltr
Vanish Oxi Action Fabric Stain Remover Powder Whites 1kg,5.50,unit,5.50,kg
Sainsbury's Extra-Wear Household Cleaning Gloves Large,1.80,unit,1.80,ea
Sainsbury's Super-Strong Supersized Antibacterial Multi-Surface Wipes Extra Large x20,1.50,unit,8p,wipe
Lenor Fabric Conditioner Spring Awakening Scent 2.905L (83 Washes),4.00,unit,1.38,ltr
Pledge Duster Refills Fragrance Free x5,2.50,unit,50p,ea
Calgon 3-in-1 Washing Machine Water Softener x45,12.00,unit,27p,ea
Amber Leaf Tobacco 50g,25.85,unit,51.70,100g
Bloo Rim Block Aqua,1.00,unit,1.00,ea
Glade Gel Relaxing Zen 160g,1.00,unit,1.00,ea
Sainsbury's Super Absorbent Decorated Kitchen Towel 2 Rolls,2.00,unit,1.00,100sht
Ecover Fabric Softener Gardenia & Vanilla 25 Washes 750ml (25 washes),2.50,unit,3.33,ltr
Persil Capsules Non Bio X38 999g,8.00,unit,8.01,kg
Duracell Plus Alkaline AA Batteries pack of 4,4.00,unit,1.00,batt
