Description,Price/Unit,Unit,Price/Measure,Measure
Pilgrims Choice Extra Mature Cheddar Cheese 550g,3.50,unit,6.36,kg
G Hot Chocolate Molten Middle Desserts 2x100g,3.30,unit,1.65,100g
Quorn Vegetarian Bacon Rashers 120g,1.75,unit,14.58,kg
Yorkshire Provender Roast Chicken Soup With Traditional Vegetables 600g,2.00,unit,33p,100g
G Peruvian Lime Cheesecake Desserts  2x78g,2.00,unit,1.28,100g
Sainsbury's Bread & Butter Pudding 2x120g,2.00,unit,83p,100g
Sainsbury's Large Melton Mowbray Pork Pie 454g,2.80,unit,62p,100g
G Spanish Lemon Cheesecake Desserts 2x90g,2.00,unit,1.11,100g
Sainsbury's Free Range British Eggs Medium x15,2.00,unit,13p,ea
Sainsbury's Stonebaked BBQ Chicken Hand Stretched Pizza 300g,3.00,unit,10.00,kg
Innocent Dairy Free Almond 750ml,2.00,unit,2.67,ltr
G Hot Chocolate Souffl Desserts 2x60g,3.30,unit,2.75,100g
Sainsbury's Steak & Ale Puff Pastry Pie 550g,3.00,unit,60p,100g
G Chocolate & Vanilla Cheesecake Desserts 2x78g,2.00,unit,1.28,100g
G Salted Caramel Cheesecake Desserts 2x92g,2.00,unit,1.08,100g
Sainsbury's Oat Drink 1L,1.00,unit,1.00,ltr
G Strawberry & Clotted Cream Cheesecake Desserts 2x87g,2.00,unit,1.15,100g
Ocean Spray Wholeberry Cranberry 850ml,2.00,unit,23p,100ml
Quorn Vegetarian Cottage Pie Ready Meal 400g,3.00,unit,7.50,kg
Stamford St Single Garlic Baguette 170g,32p,unit,19p,100g
Quorn Vegetarian Tikka Masala Ready Meal 400g,3.00,unit,7.50,kg
G Free From Chocolate & Vanilla Cheesecake Vegan & Gluten Free Desserts 2x82g,3.50,unit,2.13,100g
Sainsbury's Unsweetened Soya Drink 1L,95p,unit,95p,ltr
Quorn Southern Fried Poppers 60g,1.30,unit,21.67,kg
G Hot Sticky Toffee Pudding Desserts 2x85g,3.30,unit,1.94,100g
Sainsbury's Unsweetened Almond Drink 1L,1.10,unit,1.10,ltr
G Free From Spanish Lemon Cheesecake Vegan & Gluten Free Desserts 2x92g,3.50,unit,1.90,100g
G Free From Salted Caramel Cheesecake Vegan & Gluten Free Desserts 2x83g,3.50,unit,2.11,100g
Sainsbury's Sweetened Soya Drink 1L,95p,unit,95p,ltr
Sainsbury's Cheese & Ham Pizza 255g,1.80,unit,7.06,kg
G Milk Chocolate Mousses with Ganache Desserts 2x70g,3.30,unit,2.36,100g
G Hot Chocolate Brownie Desserts 2x78g,3.30,unit,2.12,100g
G Hot Apple & Salted Caramel Sponge Desserts 2x82g,3.30,unit,2.01,100g
G Dark Chocolate Mousses with Salted Caramel Desserts 2x70g,3.30,unit,2.36,100g
G Free From Strawberry & Rhubarb Cheesecake Vegan & Gluten Free Desserts 2x95g,3.50,unit,1.84,100g
"Sainsbury's Parmesan & Garlic Twists, Taste the Difference 100g",1.25,unit,1.25,100g
Sainsbury's Sweetened Coconut Drink 1L,1.10,unit,1.10,ltr
G Light Lemon & Blueberry Desserts 2x77g,2.50,unit,1.62,100g
Sainsbury's Sticky Toffee Trifle 500g,4.00,unit,80p,100g
G Light Strawberry & Vanilla Desserts 2x77g,2.50,unit,1.62,100g
"Sainsbury's Caramelised Onion Houmous, Be Good To Yourself 200g",1.40,unit,70p,100g
Sainsbury's Black Forest Dessert 705g,8.00,unit,1.13,100g
"Sainsbury's Flavoured Houmous Stacker, Be Good To Yourself 180g",1.65,unit,92p,100g
Odysea Roasted Sweet Red Pepper Meze 220g,2.50,unit,1.14,100g
Odysea Houmous 265g,2.50,unit,94p,100g
