Description,Price/Unit,Unit,Price/Measure,Measure
L'Oreal Elvive Fibrology Fine Hair Thickening Shampoo 400ml,2.50,unit,63p,100ml
Sanex Dermo Invisible Dry Antiperspirant Roll On Deodorant 50ml,1.50,unit,3.00,100ml
Listerine Cool mint Mouthwash 1L,4.25,unit,43p,100ml
Dove Deeply Nourishing Body Wash 450ml,2.00,unit,44p,100ml
Dove Daily Moisture Shampoo 400ml,1.75,unit,44p,100ml
Pears Oil Clear Soap 125g,70p,unit,56p,100g
Johnson's Baby Gold Shampoo 300ml,1.50,unit,50p,100ml
TENA Lady Discreet Extra Incontinence Pads x10,2.40,unit,24p,ea
Colgate Kids Toothbrush Extra Soft 0-3 Years,1.25,unit,1.25,ea
Sainsbury's Apple Shampoo 500ml,75p,unit,15p,100ml
Halls Mentholyptus Original Sugar Free,60p,unit,60p,ea
Herbal Essences Dazzling Shine Conditioner 400ml,2.00,unit,50p,100ml
Carex Fun Edition Love Hearts Handwash 250ml,1.00,unit,40p,100ml
Bodyform Ultra Long Sanitary Towels Wings x12,1.00,unit,9p,ea
Sainsbury's Hayfever & Allergy Relief x30,2.95,unit,10p,ea
Fixodent Adhesive Original Denture Cream 47g,3.00,unit,6.38,100g
Oral-B 3D White Luxe Perfection Whitening Toothpaste 75ml,2.50,unit,3.33,100ml
Simple Kind To Skin Moisturising Facial Wash 150ml,3.00,unit,2.00,100ml
Tampax Regular Tampons Applicator Cardboard x20,1.90,unit,10p,ea
Impulse Body Spray Tease 75ml,1.00,unit,1.33,100ml
Always Ultra Night (Size 3) Sanitary Towels Wings x10,1.90,unit,19p,ea
Radox Bath Salts Mineral Therapy Muscle Soak 400g,1.00,unit,25p,100g
Radox Men Shower Gel Revived 250ml,1.00,unit,40p,100ml
Sainsbury's Aspirin Tablets x16,45p,unit,3p,tblt
TENA Lady Maxi Night Incontinence Pads x6,2.40,unit,40p,ea
TRESemm Cleanse & Renew Deep Cleansing Hair Shampoo 900ml,2.69,unit,30p,100ml
Tampax Super Tampons Applicator Cardboard x20,1.90,unit,10p,ea
Lockets Honey & Lemon Cough Sweet Lozenges 41g,60p,unit,1.46,100g
Aquafresh Little Teeth Soft Bristle 3-5 Years Kids Toothbrush,2.00,unit,2.00,ea
Berocca Orange Energy Effervescent Vitamin Tablets x15,4.00,unit,27p,tblt
Herbal Essences Ignite My Colour Shampoo 400ml,2.00,unit,50p,100ml
Jakemans Honey & Lemon x100g,65p,unit,65p,100g
Always Discreet Incontinence Pads Normal For Sensitive Bladder x12,2.50,unit,21p,ea
Herbal Essences Hello Hydration Conditioner 400ml,2.00,unit,50p,100ml
Aquafresh Original Complete Care Family Toothpaste 100ml,1.50,unit,1.50,100ml
L'Oreal Men Expert Fresh Extreme 48H Anti-Perspirant Deodorant 250ml,3.00,unit,1.20,100ml
Dove Purely Pampering Beauty Bar Shea Butter 2x100g,1.00,unit,50p,100g
Sainsbury's Blue Hand Wash 500ml,50p,unit,10p,100ml
Nivea Men Anti-Perspirant Deodorant Spray Sensitive Protect 48 Hours Deo 250ml,1.60,unit,64p,100ml
Oral-B 1-2-3 Toothpaste 100ml,1.00,unit,1.00,100ml
Alberto Balsam Hair Shampoo Sunkissed Raspberry 350ml,1.00,unit,29p,100ml
Batiste Original Dry Shampoo 200ml,2.25,unit,1.13,100ml
Sainsbury's Collection Handwash Fig & Jasmine 500ml,1.30,unit,26p,100ml
Impulse Body Spray True Love 75ml,1.00,unit,1.33,100ml
Gillette Blue II Plus Slalom Disposable Razors x8,3.50,unit,44p,bld
Tampax Super Plus Tampons Applicator Cardboard x20,1.90,unit,10p,ea
Sainsbury's Junior Paracetamol Suspension 100ml,2.05,unit,2.05,100ml
Right Guard Woman Xtreme Anti-Perspirant Deodorant Invisible 150ml,1.00,unit,67p,100ml
