Description,Price/Unit,Unit,Price/Measure,Measure
Johnson's Baby Powder 100g,1.50,unit,1.50,100g
Surcare Superconcentrated Liquid 980ml,5.25,unit,5.36,ltr
Eco by Naty Nappies Size 5 40 Nappies,7.50,unit,19p,napy
Sainsbury's Nappy Sacks X300,45p,unit,0p,ea
Organix Raspberry & Apple Soft Oaty Bars Big Family Box 12x30g,4.50,unit,1.25,100g
Kiddylicious Banana Wafers Snack 40g  6 Month+,2.20,unit,5.50,100g
Huggies DryNites Boys Pants 3-5 Years x10,5.50,unit,55p,napy
Ella's Kitchen Organic The Green One Smoothie Multipack Pouch 6+ Months 5 x 90g,3.00,unit,83p,100g
Pampers Baby Dry Size 4 Jumbo+ 86 Nappies,9.75,unit,11p,ea
Ella's Kitchen Organic Bolognese Bake Toddler Tray Meal 12+ Months 200g,1.80,unit,90p,100g
Sainsbury's Little Ones Organic Pear Apple & Strawberry Puree 4+ Months 4 x 100g (400g),1.25,unit,31p,100g
HiPP Organic Shell Pasta With Juicy Tomatoes & Courgettes Tray Meal 230g 12 Month+,1.75,unit,76p,100g
Sainsbury's Little Ones Bedtime Bath 500ml,1.00,unit,20p,100ml
Johnson's Baby Oil 500ml,1.50,unit,30p,100ml
Vaseline Original Petroleum Jelly 250ml,3.00,unit,1.20,100ml
Sainsbury's Little Ones Organic Apple Banana & Blueberry Puree Smooth Puree 4+ Months 4 x 100g (400g),1.25,unit,31p,100g
Pampers Baby-Dry Nappy Pants Size 7 17kg+ x 25,4.50,unit,18p,ea
HiPP Organic Mango & Banana With Yogurt Jar 160g 7 Month+,70p,unit,44p,100g
Kiddylicious Strawberry Fruity Bakes 6 x 22g (132g),2.05,unit,1.55,100g
Tilda Kids Mild & Sweet Curry Rice 125g 12 Month+,1.00,unit,80p,100g
Lansinoh Disposable Breast Pads x60,5.50,unit,9p,ea
Ella's Kitchen Organic Fish Pie Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
HiPP Organic Spaghetti Bolognese Jar 190g 7 Month+,70p,unit,37p,100g
HiPP Organic 2 Follow On Milk Powder 800g,10.50,unit,1.31,100g
HiPP Organic Vegetables with Rice and Chicken Jar 6+ Months 125g,60p,unit,48p,100g
E45 Junior Foaming Bath Milk 500ml,4.50,unit,90p,100ml
Aptamil Follow On Milk 6-12 Months 800g,11.50,unit,1.44,100g
L'Oreal Paris Kids Very Berry Strawberry Conditioner 250ml,2.40,unit,96p,100ml
Sainsbury's Little Ones Dry Fit Size 5+ Jumbo 66 Nappies,4.75,unit,7p,ea
Bepanthen Nappy Rash Cream Ointment 100g,5.00,unit,5.00,100g
Aptamil ProFutura 3 Growing Up Milk Formula 800g,15.00,unit,1.88,100g
Cow & Gate Hungry Baby Milk Formula From Birth 200ml,80p,unit,40p,100ml
Vaseline Original Petroleum Jelly 50ml,1.50,unit,3.00,100ml
Sainsbury's Little Ones Organic Apple & Mango 4+ Months 70g,60p,unit,86p,100g
Sainsbury's Little Ones Organic Apple Rice Cakes 12+ Months 40g,80p,unit,2.00,100g
Sainsbury's Little Ones Sterilising Liquid 500ml,1.00,unit,20p,100ml
SMA PRO Follow-on Milk 6 Month+ 800g,10.75,unit,1.34,100g
Kiddyum Kids' Ready Meal Cottage Pie 200g,1.75,unit,8.75,kg
Sainsbury's Little Ones Sensitive Baby Bath 300ml,1.00,unit,33p,100ml
Pampers Baby-Dry Nappy Pants Size 4 9-15kg x38,4.50,unit,12p,napy
Organix Strawberry Organic Baby Snack Biscuits 54g,1.60,unit,30p,10g
HiPP Paella With Mixed Vegetables & Chicken Tray Meal 230g 12 Month+,1.75,unit,76p,100g
HiPP Organic Cheesy Spinach & Potato Bake 6+ Months 125g,60p,unit,48p,100g
Sainsbury's Little Ones Dry Fit Size 4 Jumbo 84 Nappies,4.75,unit,6p,ea
Kiddyum Kids' Ready Meal Chicken Curry 200g,1.75,unit,8.75,kg
Organix Melty Cheese Stars 20g,65p,unit,33p,10g
HiPP 3 Growing Up Milk Powder 600g,7.25,unit,1.21,100g
HiPP Organic Vegetable Lasagne Jar 190g 7 Month+,70p,unit,37p,100g
SMA PRO Growing Up Milk 1-3 Years 800g,10.20,unit,1.28,100g
Aveeno Baby Daily Care Baby Wipes x72,1.50,unit,2p,ea
Little Dish Salmon & Pollock Fish Pie 200g,2.50,unit,12.50,kg
Pampers New Baby Size 0 Carry Pack 24 Nappies,3.00,unit,13p,napy
HiPP Organic Creamed Porridge Breakfast Jar 125g 6 Month+,60p,unit,48p,100g
HiPP Organic Spaghetti Bolognese & Mozzarella Jar 190G 7 Month+,70p,unit,37p,100g
Huggies DryNites Girl Pants 3-5 Years x10,5.50,unit,55p,napy
Sainsbury's Little Ones Size 6 16kg+ Nappy Pants x32,4.00,unit,13p,ea
Sainsbury's Little Ones Baby Bath 500ml,1.00,unit,20p,100ml
Pampers Baby Dry Size 5+ Jumbo 68 Nappies,9.75,unit,14p,ea
Johnson's Face Care MakeUp Be Gone Extra-Sensitive Wipes 25 Wipes,1.50,unit,6p,wipe
Johnson's Baby Oil 300ml,1.50,unit,50p,100ml
Aptamil ProFutura 1 First Baby Milk Formula From Birth 800g,15.00,unit,1.88,100g
Sainsbury's Little Ones Organic Spaghetti Bolognese with Cheese 7+ Months 130g,1.00,unit,77p,100g
Ella's Kitchen Organic Chicken Paella Toddler Tray Meal 12+ Months 200g,1.80,unit,90p,100g
Eco by Naty Nappies Size 4 44 Nappies,7.50,unit,17p,napy
Sainsbury's Little Ones Organic Apple Peach & Mango Puree 7+ Months 4 x 100g (400g),1.25,unit,31p,100g
Pampers New Baby Sensitive Baby Wipes x50,1.00,unit,2p,ea
Pampers Baby Wipes Aqua Pure x70,2.70,unit,4p,ea
Sudocrem Antiseptic Healing Cream 400g,6.00,unit,1.50,100g
Sainsbury's Little Ones Organic Simply Mango Smooth Puree 4+ Months 70g,60p,unit,86p,100g
Organix Banana Puffcorn 4x10g,2.00,unit,5.00,100g
Johnson's Baby Soap 4x100g,1.25,unit,31p,100g
Heinz Apple Juice Drink 500ml 6 Month+,1.50,unit,30p,100ml
Milton Antibacterial Hand Gel 100ml,1.30,unit,1.30,ea
Aveeno Baby Daily Care Baby Hair & Body Wash 300ml,3.00,unit,1.00,100ml
Sainsbury's Kids Cherry 2 In 1 Shampoo 250ml,1.00,unit,40p,100ml
